"Months.On.Production","API","Product.per.day..normalized.Oil","Product.per.day..normalized.Gas"
3,"4225534861",488.9,940.3
4,"4225534861",149.6,883.2
5,"4225534861",149.9,965.4
6,"4225534861",138,948.2
1,"4225534863",707.1,1187.5
2,"4225534863",468.1,864.7
3,"4225534863",366.3,719.3
4,"4225534863",100.7,654.7
5,"4225534863",100.9,692.7
6,"4225534863",92.9,671.1
1,"4225532222",229.7,539.8
2,"4225532222",446.1,823.4
3,"4225532222",329.9,698.1
4,"4225532222",225.6,461.5
5,"4225532222",207.2,479.9
6,"4225532222",193,367.3
1,"4228932039",19,20
2,"4228932039",4.9,20
3,"4228932039",2,20
4,"4228932039",4.7,20
5,"4228932039",2,20
6,"4228932039",2,20
1,"4205133943",87,51.9
2,"4205133943",110.3,72.8
3,"4205133943",87.5,56.6
4,"4205133943",68.2,48.7
5,"4205133943",65.8,44.2
6,"4205133943",57.1,39.7
1,"4205133942",68.5,43.8
2,"4205133942",87.7,61.5
3,"4205133942",70.1,47.8
4,"4205133942",55.1,41.2
5,"4205133942",48,37.4
6,"4205133942",42,33.6
1,"4247940960",2,2201.6
2,"4247940960",2,3242.9
3,"4247940960",2,2525.9
4,"4247940960",2,1903.8
5,"4247940960",2,1580.5
6,"4247940960",2,1491.7
1,"4225533371",1295.2,1284.1
2,"4225533371",977,895
3,"4225533371",687.5,747.1
4,"4225533371",549.2,720.6
5,"4225533371",459.7,568.7
6,"4225533371",396.8,501.6
1,"4225533651",198.6,756.4
2,"4225533651",203.4,841.6
3,"4225533651",432.8,2180.8
4,"4225533651",334.4,1796.3
5,"4225533651",274.3,1548.9
6,"4225533651",218.9,1259.4
1,"4225533652",222.5,866.7
2,"4225533652",641.4,2898.4
3,"4225533652",558.2,2595.5
4,"4225533652",450.8,2204.3
5,"4225533652",365.9,1929.6
6,"4225533652",380.8,2219.4
1,"4225533912",543.3,2568
2,"4225533912",326.1,2160.9
3,"4225533912",617.9,4079.2
4,"4225533912",501.4,3528.7
5,"4225533912",400.9,2869
6,"4225533912",396.2,2747.4
1,"4225532995",407.9,2226.4
2,"4225532995",568.5,2640.4
3,"4225532995",222.5,2080
4,"4225532995",374.5,2021.7
5,"4225532995",424.1,1801.7
6,"4225532995",295.6,1550.8
1,"4225533911",811,3476.6
2,"4225533911",508.9,3147.9
3,"4225533911",889,5531.3
4,"4225533911",645.5,4132.8
5,"4225533911",529.3,3254
6,"4225533911",492.3,3116.6
1,"4225533934",697.8,3285.1
2,"4225533934",397.5,2476.9
