"API","BOE_Prod_2yr","BOE_Prod_6mon","TOC","Permeability...d.","Brittleness","Porosity","Thickness","Vclay","TVD","Surf.Lat","Surf.Lon","Lateral..ft.","GPI","Proppant.per.GPI..lb.ft.","Fluid.per.GPI..gal.ft.","Total.Proppant.Volume","Total.Fluid","API.Gravity","Fluid.Type","On.Stream"
"4228335750",46812,0,3.38,0.43,28.2,0.074,109,0.25,8352,28.57531,-99.05087,6474,5842,2072.920233,1380.77114,12110000,8066465,38.20000076,"XLINK",2016-07-01
"4225533525",152451.5,0,3.18,0.42,30.4,0.071,116,0.24,12138,28.91622,-97.87876,4188,3777,2855.705586,2486.379931,10786000,9391057,47.5,"GEL",2016-07-01
"4225534939",158780.5,0,2.84,0.33,31.6,0.065,70,0.25,11041,28.92553,-97.95215,5412,4859,1036.427248,798.0520683,5036000,3877735,41.25999832,"GEL",2016-07-01
"4228335720",176198,0,3.03,0.34,29.5,0.067,120,0.27,8255,28.41722,-99.31611,7920,7090,2047.672779,1496.928068,14518000,10613220,42.70000076,"XLINK",2016-07-01
"4225534722",271294.5,0,3.15,0.42,30.8,0.071,107,0.24,11913,28.92445,-97.88437,4721,4223,2927.302865,2753.165522,12362000,11626618,43,"GEL",2016-07-01
"4228335751",46104,0,3.39,0.43,28.2,0.074,109,0.25,8350,28.57534,-99.05083,6498,5811,2156.599553,1367.274135,12532000,7945230,36.40000153,"XLINK",2016-07-01
"4228335676",896043,0,4.35,0.9,30.2,0.096,122,0.14,10511,28.17893,-99.2531,8304,7423,2220.396066,2323.888994,16482000,17250228,46.40000153,"SLKW",2016-07-01
"4225534938",191382,0,2.85,0.33,31.6,0.065,70,0.25,11036,28.92559,-97.95221,6003,5339,1021.165012,810.7986514,5452000,4328854,44.40000153,"SLKW",2016-07-01
"4228335677",823953.5,0,4.35,0.9,30.2,0.096,122,0.14,10512,28.17893,-99.25314,7744,6880,1096.511628,2146.675436,7544000,14769127,46.5,"SLKW",2016-07-01
"4201335339",197318,0,3.59,0.39,28.7,0.081,96,0.2,10522,28.8088,-98.14067,9254,8221,1466.37392,708.7586668,12055060,5826705,50,"XLINK",2016-07-01
"4225534942",347220.5,0,2.84,0.33,31.6,0.065,70,0.25,11138,28.92535,-97.95195,4460,3954,2345.978756,1736.848255,9276000,6867498,44.40000153,"XLINK",2016-07-01
"4225534941",184243.5,0,2.84,0.33,31.6,0.065,70,0.25,11025,28.92541,-97.95202,4367,3868,2253.36091,1809.834281,8716000,7000439,45,"XLINK",2016-07-01
"4231136265",215628,0,3.07,0.3,27.9,0.069,126,0.25,10581,28.59483,-98.4264,8865,7850,1297.579618,765.6915924,10186000,6010679,42,"XLINK",2016-07-01
"4231136268",230576.5,0,3.07,0.29,27.9,0.069,126,0.25,10579,28.59502,-98.42658,8811,7679,1324.651647,753.698268,10172000,5787649,44.40000153,"XLINK",2016-07-01
"4225534962",270094,0,3.17,0.33,26.9,0.07,140,0.29,11402,29.10065,-97.67201,5030,4349,3028.282364,2717.81375,13170000,11819772,42,"SLKW",2016-07-01
